No data_format specified in output block 'output2', using default
No data_format specified in output block 'output2', using default

Setup complete, entering main loop...

cycle=900 time=2.8414152807811931e+01 dt=3.1847575118050551e-02
cycle=910 time=2.8732706281383802e+01 dt=3.1863754309299913e-02
cycle=920 time=2.9051395145313361e+01 dt=3.1871924852010729e-02
cycle=930 time=2.9370115868355054e+01 dt=3.1872852675053603e-02
cycle=940 time=2.9688878149610247e+01 dt=3.1881520054047284e-02
cycle=950 time=3.0007695702983590e+01 dt=3.1882461070131700e-02
cycle=960 time=3.0326538632748598e+01 dt=3.1880305844367796e-02
cycle=970 time=3.0645315833059197e+01 dt=3.1876867595634011e-02
cycle=980 time=3.0964090644941415e+01 dt=3.1877753591587038e-02
cycle=990 time=3.1282868708161459e+01 dt=3.1878265532483276e-02
cycle=1000 time=3.1601584214728355e+01 dt=3.1865818548650719e-02
cycle=1010 time=3.1920259634122480e+01 dt=3.1871700038852334e-02
cycle=1020 time=3.2239001487483257e+01 dt=3.1875237449505781e-02
cycle=1030 time=3.2557738194342171e+01 dt=3.1871512125815335e-02
cycle=1040 time=3.2876426305965630e+01 dt=3.1866711202075432e-02
cycle=1050 time=3.3195078479720465e+01 dt=3.1864205670321430e-02
cycle=1060 time=3.3513767050487544e+01 dt=3.1874351277961024e-02
cycle=1070 time=3.3832518860426099e+01 dt=3.1874779793479580e-02
cycle=1080 time=3.4151224329673489e+01 dt=3.1861627642254808e-02
cycle=1090 time=3.4469711573014045e+01 dt=3.1833946040704879e-02
cycle=1100 time=3.4787977641054056e+01 dt=3.1823486761792814e-02
cycle=1110 time=3.5106252586217757e+01 dt=3.1831455584196033e-02
cycle=1120 time=3.5424523850084171e+01 dt=3.1817181635696190e-02
cycle=1130 time=3.5742621921353447e+01 dt=3.1803204837659492e-02
cycle=1140 time=3.6060606766846135e+01 dt=3.1795094921343546e-02
cycle=1150 time=3.6378570598815088e+01 dt=3.1797310918410149e-02
cycle=1160 time=3.6696572658167156e+01 dt=3.1803241666711647e-02
cycle=1170 time=3.7014633423507881e+01 dt=3.1810247263777326e-02
cycle=1180 time=3.7332764049190025e+01 dt=3.1815754717403048e-02
cycle=1190 time=3.7650925689107304e+01 dt=3.1818434407664270e-02
cycle=1200 time=3.7969129375084570e+01 dt=3.1822916039457971e-02
cycle=1210 time=3.8287397531188979e+01 dt=3.1831371619924193e-02
cycle=1220 time=3.8605697358397173e+01 dt=3.1825495361449407e-02
cycle=1230 time=3.8923900218222009e+01 dt=3.1814901406353499e-02
cycle=1240 time=3.9242048014690830e+01 dt=3.1811408868320491e-02
cycle=1250 time=3.9560112627317658e+01 dt=3.1800945046290267e-02
cycle=1260 time=3.9878124865975082e+01 dt=3.1798871750865924e-02
cycle=1270 time=4.0196089362767907e+01 dt=3.1799767480890466e-02
cycle=1280 time=4.0514196367810349e+01 dt=3.1822609576986641e-02
cycle=1290 time=4.0832448084341699e+01 dt=3.1823250103437062e-02
cycle=1300 time=4.1150601738372025e+01 dt=3.1805263841835296e-02
cycle=1310 time=4.1468612810474021e+01 dt=3.1798421675531222e-02
cycle=1320 time=4.1786570007378394e+01 dt=3.1791909121338717e-02
cycle=1330 time=4.2104466916506510e+01 dt=3.1787765577356554e-02
cycle=1340 time=4.2422342007314484e+01 dt=3.1788496784466332e-02
cycle=1350 time=4.2740260690197324e+01 dt=3.1796397900557112e-02
cycle=1360 time=4.3058237829718493e+01 dt=3.1793452461919745e-02
cycle=1370 time=4.3376061983981046e+01 dt=3.1769257411250168e-02
cycle=1380 time=4.3693688913412601e+01 dt=3.1757106588540737e-02
cycle=1390 time=4.4011197178957921e+01 dt=3.1743836525245074e-02
cycle=1400 time=4.4328630449164898e+01 dt=3.1745296505889205e-02
cycle=1410 time=4.4646122274605531e+01 dt=3.1755451868536566e-02
cycle=1420 time=4.4963715363364244e+01 dt=3.1761929243781982e-02
cycle=1430 time=4.5281275270417957e+01 dt=3.1746491864812675e-02
cycle=1440 time=4.5598655322040749e+01 dt=3.1728257686162241e-02
cycle=1450 time=4.5915909012153605e+01 dt=3.1727066977588390e-02
cycle=1460 time=4.6233148247606636e+01 dt=3.1718177810718250e-02
cycle=1470 time=4.6550359231591436e+01 dt=3.1727121895176159e-02
cycle=1480 time=4.6867667463609848e+01 dt=3.1730615594302757e-02
cycle=1490 time=4.7184915369509206e+01 dt=3.1715987492495962e-02
cycle=1500 time=4.7502064197549373e+01 dt=3.1717220300159811e-02
cycle=1510 time=4.7819240579167477e+01 dt=3.1709405690107183e-02
cycle=1520 time=4.8136274351106266e+01 dt=3.1707395604793104e-02
cycle=1530 time=4.8453446823921659e+01 dt=3.1723279666169842e-02
cycle=1540 time=4.8770607699112993e+01 dt=3.1702581702902390e-02
cycle=1550 time=4.9087584105325902e+01 dt=3.1698766890066281e-02
cycle=1560 time=4.9404601050498911e+01 dt=3.1701663189992270e-02
