######################################
###### Cloud in wind problem generator
#### Input parameters
## Cloud radius: 3.2e-22 kpc
## Cloud density: 1e+02 g/cm^3
## Wind density: 1 g/cm^3
## Wind temperature: 6.1e-09 K
## Wind velocity: 2.6e-05 km/s
#### Derived parameters
## Cloud temperature (from pressure equ.): 6.1e-11 K
## Cloud to wind density ratio: 1e+02
## Cloud to wind temperature ratio: 0.01
## Uniform pressure (code units): 1
## Wind sonic Mach: 2
## Cloud crushing time: 1.2e-13 Myr
######################################
Starting up hydro driver
### PARTHENON WARNING
  Message:     The following input parameters are set but unused:
comment/problem


  File:        /home/kaan/codes/athenapk/external/parthenon/src/parameter_input.cpp
  Line number: 687
# Variables in use:
# Package: parthenon::resolved_state
# ---------------------------------------------------
# Variables:
# Name	Metadata flags
# ---------------------------------------------------
prim                      Cell,Provides,Real,Derived,Hydro,parthenon::resolved_state
cons                      Cell,Provides,Real,Independent,FillGhost,WithFluxes,Hydro,parthenon::resolved_state
bnd_flux::cons            Face,Provides,Real,Derived,OneCopy,Flux,CellMemAligned,parthenon::resolved_state
# ---------------------------------------------------
# Sparse Variables:
# Name	sparse id	Metadata flags
# ---------------------------------------------------
# ---------------------------------------------------
# Swarms:
# Swarm	Value	metadata
# ---------------------------------------------------


Setup complete, executing driver...

cycle=3100 time=2.8839037796529099e+00 dt=9.2066129962238910e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=6.17e+01 wsec_step=1.77e+00
cycle=3200 time=2.9760115776386566e+00 dt=9.2135378454426221e-04 zone-cycles/wsec_step=5.11e+07 wsec_total=6.58e+01 wsec_step=4.10e+00
cycle=3300 time=3.0682313577219817e+00 dt=9.2375654163060318e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=6.76e+01 wsec_step=1.77e+00
cycle=3400 time=3.1606719408496504e+00 dt=9.2522596632057760e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=6.93e+01 wsec_step=1.77e+00
cycle=3500 time=3.2532884052750854e+00 dt=9.2699975339430416e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=7.11e+01 wsec_step=1.78e+00
cycle=3600 time=3.3460208660851687e+00 dt=9.2744439164874992e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=7.29e+01 wsec_step=1.78e+00
cycle=3700 time=3.4389110772855123e+00 dt=9.3040241717057704e-04 zone-cycles/wsec_step=4.92e+07 wsec_total=7.72e+01 wsec_step=4.26e+00
cycle=3800 time=3.5319853454795327e+00 dt=9.3084274402549744e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=7.89e+01 wsec_step=1.76e+00
cycle=3900 time=3.6250990591518311e+00 dt=9.3203855226783546e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=8.07e+01 wsec_step=1.77e+00
cycle=4000 time=3.7184795793386711e+00 dt=9.3559136452239723e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=8.25e+01 wsec_step=1.77e+00
cycle=4100 time=3.8121583738758109e+00 dt=9.3794748301971901e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=8.42e+01 wsec_step=1.78e+00
cycle=4200 time=3.9059592051324095e+00 dt=9.2604881182176526e-04 zone-cycles/wsec_step=4.80e+07 wsec_total=8.86e+01 wsec_step=4.37e+00
cycle=4300 time=3.9967214904076660e+00 dt=9.0201136160853162e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=9.04e+01 wsec_step=1.78e+00
cycle=4400 time=4.0864265122944348e+00 dt=8.9685021427906436e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=9.22e+01 wsec_step=1.77e+00
cycle=4500 time=4.1766271120154528e+00 dt=9.0443366254372047e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=9.39e+01 wsec_step=1.77e+00
cycle=4600 time=4.2671506909513877e+00 dt=9.0651002574648103e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=9.57e+01 wsec_step=1.77e+00
cycle=4700 time=4.3579250602008148e+00 dt=9.0865234792934411e-04 zone-cycles/wsec_step=4.80e+07 wsec_total=1.00e+02 wsec_step=4.37e+00
cycle=4800 time=4.4487361560434966e+00 dt=9.0363468377436303e-04 zone-cycles/wsec_step=1.16e+08 wsec_total=1.02e+02 wsec_step=1.81e+00
cycle=4900 time=4.5389129833038595e+00 dt=9.0067837115973069e-04 zone-cycles/wsec_step=1.16e+08 wsec_total=1.04e+02 wsec_step=1.81e+00
cycle=5000 time=4.6291606658179409e+00 dt=9.0383070468937608e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.05e+02 wsec_step=1.78e+00
cycle=5100 time=4.7190771757678309e+00 dt=8.9882880283450629e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.07e+02 wsec_step=1.78e+00
cycle=5200 time=4.8093563655776990e+00 dt=9.0472636099741773e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.09e+02 wsec_step=1.78e+00
cycle=5300 time=4.9001588418518409e+00 dt=9.1198497141069344e-04 zone-cycles/wsec_step=4.75e+07 wsec_total=1.13e+02 wsec_step=4.42e+00
cycle=5400 time=4.9915772889588119e+00 dt=9.1470508345463343e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=1.15e+02 wsec_step=1.76e+00
cycle=5500 time=5.0831417738316258e+00 dt=9.1756541094023579e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=1.17e+02 wsec_step=1.77e+00
cycle=5600 time=5.1751066551647043e+00 dt=9.2162994818831192e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.19e+02 wsec_step=1.77e+00
cycle=5700 time=5.2674228273326662e+00 dt=9.2459530757851057e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.21e+02 wsec_step=1.78e+00
cycle=5800 time=5.3596188282882524e+00 dt=9.1586364141253262e-04 zone-cycles/wsec_step=4.74e+07 wsec_total=1.25e+02 wsec_step=4.43e+00
cycle=5900 time=5.4506922293362789e+00 dt=9.0636745884282739e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.27e+02 wsec_step=1.77e+00
cycle=6000 time=5.5410567041089669e+00 dt=9.0145105303361748e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.28e+02 wsec_step=1.78e+00
cycle=6100 time=5.6310714226722043e+00 dt=8.9983330217862246e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=1.30e+02 wsec_step=1.77e+00
cycle=6200 time=5.7212261684890446e+00 dt=9.0383096917826889e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.32e+02 wsec_step=1.77e+00
cycle=6300 time=5.8118368573931560e+00 dt=9.0849879061020858e-04 zone-cycles/wsec_step=4.78e+07 wsec_total=1.36e+02 wsec_step=4.39e+00
cycle=6400 time=5.9028869714558079e+00 dt=9.1205799153200426e-04 zone-cycles/wsec_step=1.14e+08 wsec_total=1.38e+02 wsec_step=1.83e+00
cycle=6500 time=5.9943962446177093e+00 dt=9.1902899244708427e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=1.40e+02 wsec_step=1.76e+00
cycle=6600 time=6.0865628973074930e+00 dt=9.2345912681817115e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=1.42e+02 wsec_step=1.76e+00
cycle=6700 time=6.1791069991581882e+00 dt=9.2604266562427604e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.44e+02 wsec_step=1.77e+00
cycle=6800 time=6.2716752346012008e+00 dt=9.2589993341719943e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.45e+02 wsec_step=1.78e+00
cycle=6900 time=6.3642691324352549e+00 dt=9.2514454268583239e-04 zone-cycles/wsec_step=4.86e+07 wsec_total=1.50e+02 wsec_step=4.31e+00
cycle=7000 time=6.4569035103919159e+00 dt=9.2830547099445138e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=1.51e+02 wsec_step=1.77e+00
cycle=7100 time=6.5498172120757783e+00 dt=9.2898405391365977e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=1.53e+02 wsec_step=1.77e+00
cycle=7200 time=6.6426346196197574e+00 dt=9.2748834712453676e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.55e+02 wsec_step=1.77e+00
cycle=7300 time=6.7353926629685761e+00 dt=9.2828027633614296e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=1.57e+02 wsec_step=1.77e+00
cycle=7400 time=6.8282919473973376e+00 dt=9.2953649608325034e-04 zone-cycles/wsec_step=4.85e+07 wsec_total=1.61e+02 wsec_step=4.32e+00
